country,num_observations,slope,intercept,r_squared,durbin_watson
Bosnia and Herzegovina,33,0.0589373431752796,-116.13856723340544,0.7479330568480256,0.0931316257342692
Slovak Republic,33,0.03889595933738769,-75.16388420072082,0.9377393361527453,0.12889302001326983
Cabo Verde,33,0.05463053521180025,-108.53553306739315,0.9147765423275419,0.13653035228305235
Czechia,33,0.030902314811471335,-58.981010844787534,0.9211275906951842,0.14438868319753342
Kenya,33,0.022856618931452636,-45.430274176870036,0.813589812257948,0.14714075499481108
"Korea, Rep.",33,0.052885829404015046,-103.42224056379276,0.9564267565764185,0.1546281597558727
Tajikistan,33,0.028067989622524797,-56.11640832786262,0.4504814495320567,0.15741934171114128
Tanzania,33,0.03425760285416792,-69.12043899574176,0.8697976417597815,0.16466648154497804
Lebanon,32,0.014934917546901003,-27.9909790248775,0.5094894558050863,0.16491404783469743
Lao PDR,33,0.05656119412486403,-113.07581014400849,0.9785989898965659,0.16812177505573145
Philippines,33,0.04021762803381808,-79.91450317151994,0.8795519417233347,0.1766817930004364
China,33,0.08137838541257122,-162.2909474541846,0.990433033715489,0.18055757677515663
Kazakhstan,33,0.018665327082475557,-35.28497901272662,0.5628929590314966,0.1918951797601794
Zimbabwe,33,-0.00529170073847728,10.855752127260164,0.0654655054022728,0.19464354246627946
Argentina,33,0.029832715609633038,-57.45618079289196,0.7767250030061653,0.19899528509919662
Colombia,33,0.02216429072074907,-42.767073058626615,0.8830571760812485,0.20024487078483966
Azerbaijan,33,0.021887411847041207,-42.82108947193837,0.2803278985935749,0.21550150678159366
Tunisia,33,0.019829899474860014,-38.08559380285594,0.9010470154126832,0.22240334734160833
Jordan,33,0.019408214625229677,-36.92426962084514,0.8490387490017,0.2299760372869409
Luxembourg,33,0.01447710126014893,-24.673211422082876,0.7645355776350489,0.2301299119825844
Croatia,33,0.02462123628669812,-46.47681487142411,0.8771222399693324,0.232068512109052
Uzbekistan,33,0.04185471997462009,-83.29354573002227,0.9347009233776813,0.2349605778694258
Lesotho,33,0.027834364810615186,-55.91888006048642,0.8853058669773921,0.24006494515286358
Namibia,33,0.002095097813150472,-2.459390583620496,0.058204537011720237,0.24554811016006864
Russian Federation,33,0.026809715021872384,-51.205615894902515,0.8505754667090698,0.252512725207349
Cameroon,33,0.01687051589608036,-33.47966962950694,0.8353438393280737,0.2583730930302288
Bolivia,33,0.014313330439027296,-27.67685061430154,0.7599641688614063,0.26263623059620933
United Kingdom,33,0.01856103813483667,-33.92318079642557,0.8730952354180788,0.26944280946490295
India,33,0.038539799733195934,-76.57945200489922,0.9175619737422043,0.27344587003836257
Trinidad and Tobago,33,0.01679931163914321,-31.27964885830018,0.4994395168178968,0.2807776363693459
Jamaica,33,0.02027082566556909,-38.97883299485738,0.8815814904315191,0.2830705528680972
Ecuador,33,0.05332797099472982,-105.30401318153538,0.9765967302305734,0.2850840686490604
Chad,33,0.028561691527299694,-57.87095991041827,0.7811896290825503,0.2916307224598822
Guinea,33,0.04943058603552788,-99.47906113888928,0.9625992522407898,0.3044096938265227
Peru,33,0.030924623635752983,-60.90158838119622,0.8889565113364442,0.30860873035879755
Indonesia,33,0.03609014512613933,-71.31505682722621,0.9101954208642684,0.3119005955729412
Cyprus,33,0.026592741889271968,-50.40977565078757,0.9075097588557441,0.31337387372885217
"Hong Kong SAR, China",33,0.039445316017190285,-76.12598028196398,0.9857195536530058,0.31720854710793583
Suriname,33,0.0004231226628764209,1.4023752404547742,0.0027214448277845804,0.31945763549264417
Uruguay,33,0.02190563114070618,-41.479675121393704,0.8728863544829876,0.3226969759311646
Ukraine,31,0.019370268024298715,-36.83627903370067,0.47746407259830403,0.3239553286273149
Bahrain,33,-0.009266237952894787,21.14337021315395,0.6806393932565395,0.3253733361582782
Kuwait,33,0.00043999871473172176,1.4148448002623593,0.0005714011399441388,0.32812647780827353
Hungary,33,0.021036121498095417,-39.32751527477846,0.8466375146062606,0.3378224943709813
Sierra Leone,33,0.02547784118949342,-51.176443394225764,0.7393053751383918,0.33786128270032134
Spain,33,0.004082890364901353,-4.742595556283771,0.32239332115014696,0.34164189165455283
Costa Rica,33,0.03727918728494121,-72.7259639539923,0.9007417607590009,0.34786289184746155
Portugal,33,0.012685167661061007,-22.395188703977418,0.7663828306079886,0.34979356028278413
Germany,33,0.011119378033723992,-18.56533156043046,0.9448818424100089,0.36210707119531016
